mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_solver,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,split5_test_neg_mean_squared_error,split6_test_neg_mean_squared_error,split7_test_neg_mean_squared_error,split8_test_neg_mean_squared_error,split9_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,split5_test_neg_mean_absolute_error,split6_test_neg_mean_absolute_error,split7_test_neg_mean_absolute_error,split8_test_neg_mean_absolute_error,split9_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,split5_test_neg_root_mean_squared_error,split6_test_neg_root_mean_squared_error,split7_test_neg_root_mean_squared_error,split8_test_neg_root_mean_squared_error,split9_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
94.29066338539124,0.6167580072928881,0.0703897476196289,0.00622668246504703,logistic,"(5,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006526740288938746,-0.006500948751562661,-0.006633454625140256,-0.006706157601727063,-0.0065530182420496415,-0.0067079666120373055,-0.006521456261395321,-0.006695832192029888,-0.006752137291300209,-0.006711078010111491,-0.0066308789876292585,9.095754349809502e-05,3,-0.05725477044833944,-0.05745945688682082,-0.05859011719221175,-0.05696503974302748,-0.057665247328672946,-0.0572503132130162,-0.0573306075898579,-0.05681187666772114,-0.05743732835005956,-0.05683890785146654,-0.05736036652711938,0.00048725480230261405,5,-0.08078824350695307,-0.08062846117570806,-0.08144602277054575,-0.08189113261963754,-0.08095071489523513,-0.08190217708972886,-0.08075553393666171,-0.08182806481904535,-0.08217138973694073,-0.08192116948696161,-0.08142829100374177,0.000558938135399344,3
94.60025119781494,0.666249871219488,0.06974403858184815,0.004605952939936067,logistic,"(5,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006716947269351518,-0.0065258163322765685,-0.006715524861313062,-0.006517034245755005,-0.006588456337070537,-0.006518539075185572,-0.006749173319248054,-0.006503875410919964,-0.006612433328793896,-0.006536495894043213,-0.006598429607395739,9.046194910580437e-05,1,-0.056825541188442186,-0.0575079211333364,-0.057933024433039805,-0.05832094227732647,-0.05745632957801434,-0.05814218267503782,-0.0577435521554737,-0.05761077707256889,-0.057112286421238674,-0.05689970081763342,-0.057555225775211175,0.00047775420315260785,6,-0.08195698426218181,-0.08078252491892395,-0.081948306030772,-0.08072815026838535,-0.0811693066193776,-0.0807374700816515,-0.08215335245288566,-0.08064660817988543,-0.08131686989053315,-0.08084859859047164,-0.0812288171295068,0.0005557653613532334,1
94.17053320407868,0.46319238738871693,0.06783995628356934,0.004071168515021908,logistic,"(5,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006541844971422124,-0.006733123080276944,-0.006705719769757745,-0.006509156256360144,-0.00658971966622041,-0.006702104991663149,-0.006716821863376339,-0.006692708243481932,-0.006728731126598777,-0.006724157294600716,-0.006664408726375827,7.988003161568151e-05,7,-0.058345974581678534,-0.05882270775253485,-0.05671745479505311,-0.05699598377714503,-0.057322948677100555,-0.056589448940732395,-0.056710004047937794,-0.056695203673161665,-0.05677134900840817,-0.05727566265755815,-0.05722467379113102,0.0007271240316788656,3,-0.08088167265470049,-0.08205560968195254,-0.08188845931972188,-0.0806793421909236,-0.08117708830834233,-0.08186638499202922,-0.08195621918668734,-0.08180897410114572,-0.08202884326015318,-0.08200095910780993,-0.08163435528034661,0.0004906774276153645,7
93.71431052684784,0.34079248183939753,0.0649423599243164,0.0018202922726764852,logistic,"(5,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.0067112425843462355,-0.006705414368508018,-0.006708304713200659,-0.006690932012868283,-0.006707469756180503,-0.00668692514798613,-0.006716402742125223,-0.00669241074636928,-0.006729227509322813,-0.006720477081091312,-0.006706880666199846,1.2885751632194616e-05,10,-0.05665102230761694,-0.057327947314797754,-0.05747728560070007,-0.05683270053602463,-0.05668608020883696,-0.056833086002380205,-0.05683165323232545,-0.056685511794618684,-0.05679669952706169,-0.05708479044171312,-0.056920677696607545,0.00026914218043440135,1,-0.08192217394787711,-0.08188659455923185,-0.08190424111851997,-0.08179811741640686,-0.0818991438061504,-0.08177362134567681,-0.08195366216420852,-0.08180715583840621,-0.08203186886401415,-0.08197851597273101,-0.08189550950332228,7.867268328000226e-05,10
103.02848374843597,1.7268600091240365,0.1076282262802124,0.0017498607490177814,logistic,"(10,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006517068870564701,-0.006630617725461408,-0.006740039434518482,-0.006505843263977773,-0.006638715871766058,-0.006684768331851249,-0.006713740877990323,-0.0066845278848899235,-0.006744288355761935,-0.0065333584827363105,-0.006639296909951816,8.653082749862085e-05,4,-0.05684673425201082,-0.0575102710183685,-0.0627232187845781,-0.05760306848587071,-0.05657161464785649,-0.05743475674930843,-0.056803987131879716,-0.0570442983549859,-0.05718708129012642,-0.058437329268335135,-0.05781623599833202,0.0017103860783815002,9,-0.08072836472123476,-0.08142860508114706,-0.08209774317554948,-0.08065880772722699,-0.08147831534688268,-0.08176043255665451,-0.08193742049875821,-0.08175896210746515,-0.08212361630957282,-0.08082919325798267,-0.08148014607824744,0.0005317001215682373,4
105.15479388237,1.570784321485674,0.10739016532897949,0.001992923039062956,logistic,"(10,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006740529965183084,-0.006704725788164359,-0.006546288537595432,-0.006692229794177313,-0.006538237074551218,-0.006787704700666065,-0.006527352143059467,-0.006497877884238011,-0.006673588027288455,-0.006512039563412317,-0.0066220573478335725,0.00010254205938877399,2,-0.06118567211757789,-0.05814201339111822,-0.05814554287001388,-0.057549391347039326,-0.058833860145448946,-0.058524163108667815,-0.0568144047435611,-0.05685296035106934,-0.057233679777129357,-0.05719159672470206,-0.058047328457632795,0.0012370397735943976,11,-0.0821007306007875,-0.08188238997589384,-0.08090913754079591,-0.08180604986293687,-0.0808593660286254,-0.08238752757951938,-0.08079203019518365,-0.0806094156053622,-0.0816920316021609,-0.08069720914264827,-0.08137358881339138,0.0006295962695851865,2
104.7045184135437,0.9943878467471706,0.10528290271759033,0.0022310460211366592,logistic,"(10,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006710290149505934,-0.0066029115222665325,-0.006709627180999601,-0.006606301625030369,-0.00669104923213699,-0.006702680948026713,-0.00658560437009051,-0.006698517890047483,-0.006725741828461265,-0.006704975981055029,-0.006673770072762044,5.038581108037137e-05,8,-0.05694629416124907,-0.056605440871616584,-0.05696194311522076,-0.056770522546119064,-0.05755961152621678,-0.05690604320485804,-0.05741004549935542,-0.056956468575805747,-0.05762218929353239,-0.05674392847882508,-0.057048248727279885,0.00033676511567995194,2,-0.0819163606949548,-0.08125830125142004,-0.08191231397659085,-0.08127915861418823,-0.08179883392895641,-0.0818699025773618,-0.08115173670409347,-0.08184447379052225,-0.0820106202175137,-0.08188391771926297,-0.08169256194748645,0.0003088611631971107,8
103.81979413032532,0.43456425623048084,0.10474884510040283,0.0022378728730139017,logistic,"(10,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006720803387004953,-0.006701130384999158,-0.006716000537779321,-0.0065399246907414,-0.006709898690784276,-0.006722245462654297,-0.006705427125189349,-0.006697857288221522,-0.006623325915103566,-0.006720753679535574,-0.006685736716201342,5.587153834993379e-05,9,-0.05718987643567366,-0.05671621762791397,-0.057233822770826934,-0.05765800730098339,-0.05775095917226669,-0.05722171834103413,-0.056815680150901306,-0.057025208806853,-0.057187197790127375,-0.058019591443766526,-0.05728182798403471,0.0003914434547533673,4,-0.08198050614020966,-0.08186043235287216,-0.0819512082752861,-0.08086980085755992,-0.08191397127953372,-0.08198930090355873,-0.08188667245156167,-0.08184043797672103,-0.08138381850898596,-0.08198020297325187,-0.08176563517195408,0.00034295936821600976,9
135.3630576133728,2.366809645889226,0.191390061378479,0.004287052429340523,logistic,"(20,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006717013067310569,-0.0065857054614935516,-0.006718741160476131,-0.006793202030366129,-0.006515702958506455,-0.006573362215900249,-0.006523316273879472,-0.006653760523615778,-0.006596629904666364,-0.006735265040988363,-0.006641269863720306,9.120581249023989e-05,5,-0.05764821183196435,-0.056653638212875196,-0.057372661619279446,-0.058427385846072974,-0.0575067864475249,-0.059883744590301796,-0.05725473872665916,-0.05662786453257453,-0.05739223820109205,-0.060969685339784564,-0.057973695534812894,0.0013388079269017147,10,-0.0819573856788427,-0.08115235955592143,-0.08196792763316718,-0.08242088346023797,-0.08071990435144516,-0.08107627406276295,-0.08076704943155638,-0.08157058614240661,-0.08121963989495622,-0.08206866052878141,-0.08149206707400779,0.0005593458015575217,5
136.432315158844,2.120102725296808,0.19344871044158934,0.005996204919422674,logistic,"(20,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.0065897981348769456,-0.006512124142206478,-0.006513936087289603,-0.006698276660105579,-0.006748329954583542,-0.006697654155035989,-0.006556328079633006,-0.006748222497899659,-0.006749258703037945,-0.006659969696844511,-0.006647389811151326,9.15004815969728e-05,6,-0.05787502447999082,-0.057829481129913644,-0.05714315021176081,-0.05886231321308463,-0.057745417027062235,-0.058020180290765985,-0.05709175121117042,-0.0582942804906786,-0.0577958071126027,-0.061347304490938205,-0.0582004709657968,0.0011551391178389009,12,-0.08117757162466087,-0.0806977331912519,-0.08070895915132101,-0.08184300006784685,-0.08214821942430367,-0.08183919693542935,-0.080971155849679,-0.08214756538023302,-0.08215387211226227,-0.08160863739117638,-0.08152959111281644,0.0005617687498337308,6
137.8325406074524,2.287855517048058,0.19566409587860106,0.007764167432509852,logistic,"(20,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.0067998791772059895,-0.00670396033339178,-0.006707692931809255,-0.00670425469841586,-0.0067199863171585085,-0.006702119499396975,-0.006717566631790332,-0.006702341413828488,-0.0067348379244349995,-0.006741282177222758,-0.006723392110465494,2.8692895768238264e-05,12,-0.060519140148852915,-0.05687154880534399,-0.05691529874928125,-0.05700390854844255,-0.05814328284246774,-0.05661909021591878,-0.056795359690845995,-0.05724276789163403,-0.058347183140618125,-0.057497249472125436,-0.05759548295055308,0.0011170138096743044,7,-0.08246137991330238,-0.08187771573139897,-0.08190050629763686,-0.08187951330104411,-0.08197552267084675,-0.08186647359815234,-0.08196076275749471,-0.081867828930713,-0.08206605829717302,-0.08210531150432814,-0.08199610730020904,0.0001746369895018772,12
136.4964363336563,1.6016387597239912,0.1906899929046631,0.005384650402165162,logistic,"(20,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006711522070038958,-0.00675197312291695,-0.0067089082718684995,-0.006562246752063563,-0.006710682120911335,-0.006729463166360532,-0.006768851136252963,-0.0066975521974749356,-0.006733911603474678,-0.006711056682670382,-0.0067086167124032784,5.305441033845451e-05,11,-0.057594027385939196,-0.05930833713078244,-0.05806434313013231,-0.056808482327935984,-0.05765608525020565,-0.057539657435578345,-0.05791359723819701,-0.05810404425124944,-0.05691386990625034,-0.056729761823901236,-0.05766322058801719,0.0007285518079594379,8,-0.08192387973014315,-0.0821703907920423,-0.08190792557419886,-0.08100769563481955,-0.08191875316990203,-0.08203330522635628,-0.08227302799978231,-0.08183857401907084,-0.0820604143511028,-0.08192103931634646,-0.08190550058137645,0.0003250952436143424,11
