mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_max_iter,param_momentum,param_solver,params,split0_test_neg_mean_squared_error,split1_test_neg_mean_squared_error,split2_test_neg_mean_squared_error,split3_test_neg_mean_squared_error,split4_test_neg_mean_squared_error,mean_test_neg_mean_squared_error,std_test_neg_mean_squared_error,rank_test_neg_mean_squared_error,split0_test_neg_mean_absolute_error,split1_test_neg_mean_absolute_error,split2_test_neg_mean_absolute_error,split3_test_neg_mean_absolute_error,split4_test_neg_mean_absolute_error,mean_test_neg_mean_absolute_error,std_test_neg_mean_absolute_error,rank_test_neg_mean_absolute_error,split0_test_neg_root_mean_squared_error,split1_test_neg_root_mean_squared_error,split2_test_neg_root_mean_squared_error,split3_test_neg_root_mean_squared_error,split4_test_neg_root_mean_squared_error,mean_test_neg_root_mean_squared_error,std_test_neg_root_mean_squared_error,rank_test_neg_root_mean_squared_error
82.71417331695557,0.7918176341458057,0.13790793418884278,0.007265199383844959,logistic,"(5,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.00671157845772075,-0.006710410809294095,-0.006688978623455103,-0.006551737741023171,-0.006522711833874149,-0.006637083493073454,8.24430390515567e-05,3,-0.05725629889287331,-0.057498409798968246,-0.05738362297027769,-0.059037603412620265,-0.05747786680649886,-0.05773076037624767,0.0006589990512781169,12,-0.08192422387621838,-0.08191709717326472,-0.08178617623691123,-0.08094280536911956,-0.08076330747235498,-0.08146672202557378,0.0005066512423220275,3
82.65994639396668,0.2748930985282624,0.13160629272460939,0.002715030963101052,logistic,"(5,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.00673656854500913,-0.0065819723630007616,-0.006705937833493021,-0.006706788116922176,-0.006719912860229271,-0.006690235943730871,5.526111834920773e-05,7,-0.058814986705737544,-0.05702996080846771,-0.05664501017877829,-0.056815578228839224,-0.056840864748651826,-0.057229280134094916,0.0008021945753576105,6,-0.08207660169018409,-0.08112935574131451,-0.0818897907769523,-0.08189498224508127,-0.08197507462777494,-0.08179316101626141,0.00033875462920070356,7
83.05423169136047,0.19676792298157603,0.13368864059448243,0.0018345589645316015,logistic,"(5,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006714427655852206,-0.006704303551488334,-0.00670607085889566,-0.006712559877627356,-0.006720203790355907,-0.006711513146843892,5.774323441718007e-06,10,-0.05761453324571651,-0.056769702882486596,-0.05684393791199625,-0.05688976944402005,-0.05700813826448577,-0.05702521634974104,0.00030465749066357147,4,-0.08194161125980015,-0.08187981162342971,-0.0818906029950669,-0.08193021346015984,-0.08197684911214816,-0.08192381769012094,3.524088135025706e-05,10
83.0500271320343,0.43410400404535826,0.13072590827941893,0.0027904157813953456,logistic,"(5,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (5,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006587837386894531,-0.006698608139121885,-0.006708917236836157,-0.006668107967915149,-0.006718726879497673,-0.006676439522053078,4.74430675419033e-05,6,-0.05671775241828726,-0.057251798496609975,-0.05693024277248401,-0.056818618285824844,-0.05666599942926886,-0.05687688228049499,0.000208133656227783,1,-0.08116549381907641,-0.08184502513361386,-0.08190798030006696,-0.08165848374734341,-0.08196784051991167,-0.08170896470400246,0.0002908763537289079,6
90.06139469146729,0.3561569484615539,0.21899266242980958,0.00376307606557186,logistic,"(10,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006751104486569035,-0.006657937041754066,-0.006515353371064644,-0.006723624599577987,-0.006526050014861792,-0.0066348139027655045,9.802644668919986e-05,2,-0.0594492220372221,-0.056858816716454964,-0.056823531996712175,-0.05749485607842862,-0.05683594013872018,-0.057492473393507604,0.001010832352393585,8,-0.08216510504203738,-0.08159618276460037,-0.08071773888721515,-0.08199771094108656,-0.080783971274392,-0.0814521417818663,0.0006020813169802758,2
89.55844035148621,0.34130227479936137,0.22209515571594238,0.004576620373055343,logistic,"(10,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006675042767236162,-0.006557627983193238,-0.006705837442923286,-0.006707498688597775,-0.006588030740788973,-0.006646807524547886,6.22460898242938e-05,5,-0.05796300769095156,-0.058259373518138924,-0.057178175682857546,-0.0572093727089956,-0.057436572384852724,-0.057609300397159266,0.0004297323710355416,10,-0.08170093492265655,-0.08097918240630265,-0.08188917781320854,-0.08189932044039056,-0.0811666849193003,-0.08152706010037172,0.00038209414842846725,5
89.93219738006592,0.15896620507396791,0.2177882671356201,0.002944343430606093,logistic,"(10,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006696654507873817,-0.006625689786607919,-0.006697640510294495,-0.006710692835712493,-0.006723854081376035,-0.006690906344372952,3.408415583277797e-05,8,-0.05663423818623786,-0.05699032703335276,-0.05693114710113251,-0.05716995340473964,-0.05705776520026457,-0.05695668618514547,0.00017969782287536126,2,-0.08183308932133637,-0.08139834019565706,-0.08183911357226747,-0.0819188185688276,-0.0819991102474657,-0.08179769438111084,0.0002086583507548238,8
90.4666540145874,0.6549929972862139,0.21612167358398438,0.0029715850808476386,logistic,"(10,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (10,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006766818502941346,-0.006700300807486734,-0.006706641383721297,-0.00674116128226322,-0.00672260500239721,-0.006727505395761961,2.4213277799669888e-05,12,-0.05801219727729824,-0.05697428249639271,-0.0569451947911469,-0.058911959258028966,-0.056969328431484376,-0.05756259245087024,0.0007876783543650497,9,-0.08226067409729479,-0.08185536517227648,-0.08189408637820741,-0.08210457528215599,-0.08199149347583083,-0.0820212388811531,0.00014754037677907367,12
117.87461686134338,0.44493392451225994,0.38751583099365233,0.00337693126132866,logistic,"(20,)",constant,0.1,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006710345425386362,-0.006511808699331352,-0.0067184654236192055,-0.0065897244776962505,-0.0066918525032952725,-0.006644439305865689,8.08159442210565e-05,4,-0.057262598893261456,-0.05772916415230401,-0.05755875832877961,-0.057072402347348915,-0.056794230479323055,-0.05728343084020341,0.0003342954978390075,7,-0.08191669808644854,-0.08069577869586086,-0.0819662456357445,-0.08117711794401333,-0.0818037438219992,-0.08151191683681329,0.0004967086209468508,4
116.46359252929688,1.8640256888586313,0.3878332614898682,0.00448568998239828,logistic,"(20,)",constant,0.1,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006549527535385426,-0.006502854184810248,-0.006614829403227884,-0.006702713460768683,-0.006703305522177939,-0.0066146460212740356,8.044158940869432e-05,1,-0.057099388201597,-0.05685285041816999,-0.057446334188791734,-0.0575658859626644,-0.056824887341662904,-0.05715786922257721,0.00030233198004797634,5,-0.08092915133241807,-0.08064027644304209,-0.08133160150413789,-0.08187010114057929,-0.08187371691927721,-0.08132896946789091,0.0004947186724839873,1
116.5428765296936,1.9441137492554423,0.3822484493255615,0.004021063535482609,logistic,"(20,)",constant,0.05,1000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 1000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006762977827328639,-0.006717074282380479,-0.006688733102027401,-0.006718653192528085,-0.0067224686113481055,-0.0067219814031225416,2.375521212278551e-05,11,-0.05983136566355371,-0.05706897344035743,-0.0567342579653118,-0.05732468951591958,-0.05731697366710854,-0.05765525205045021,0.0011091552663642895,11,-0.08223732624136462,-0.08195775913469376,-0.08178467522725393,-0.08196739103160527,-0.08199066173259065,-0.08198756267350164,0.0001448101556563427,11
115.59169001579285,1.8406652337036027,0.3863563060760498,0.011586811172186053,logistic,"(20,)",constant,0.05,10000,0.5,sgd,"{'activation': 'logistic', 'hidden_layer_sizes': (20,), 'learning_rate': 'constant', 'learning_rate_init': 0.05, 'max_iter': 10000, 'momentum': 0.5, 'solver': 'sgd'}",-0.006707132132294251,-0.006709669429342613,-0.006709139017827953,-0.006652659349035765,-0.006720709234658085,-0.006699861832631733,2.4074056594047594e-05,9,-0.05659846092427631,-0.05714186971136868,-0.05692011482770383,-0.05692978278598008,-0.057194126110950344,-0.056956870872055844,0.00021026510923163847,3,-0.08189708256277663,-0.08191257186380253,-0.08190933413126951,-0.08156383603678634,-0.08197993190200932,-0.08185255129932886,0.000147235941503036,9
